Date,Price,Open,High,Low,Vol.,Change %
"Jul 14, 2020",176.2,175.98,176.25,175.74,476.67K,0.32%
"Jul 13, 2020",175.63,176.48,176.49,175.54,503.25K,-0.57%
"Jul 10, 2020",176.63,176.41,176.92,176.34,476.77K,0.06%
"Jul 09, 2020",176.52,176.01,176.61,175.96,443.34K,0.22%
"Jul 08, 2020",176.13,176.11,176.37,176.02,435.17K,0.14%
"Jul 07, 2020",175.88,176.07,176.3,175.72,413.70K,-0.05%
"Jul 06, 2020",175.96,175.88,176.15,175.62,407.43K,-0.03%
"Jul 03, 2020",176.02,175.98,176.24,175.85,244.23K,0.01%
"Jul 02, 2020",176.01,175.19,176.06,175.04,628.12K,0.41%
"Jul 01, 2020",175.29,176.15,176.2,175.2,550.71K,-0.70%
"Jun 30, 2020",176.52,176.58,176.86,176.16,534.41K,-0.08%
"Jun 29, 2020",176.66,176.75,176.86,176.35,350.34K,-0.02%
"Jun 26, 2020",176.7,176.39,176.8,176.32,399.58K,0.08%
"Jun 25, 2020",176.55,176.11,176.72,176.09,526.35K,0.31%
"Jun 24, 2020",176.01,175.53,176.12,175.2,592.63K,0.23%
"Jun 23, 2020",175.61,175.85,176.13,175.45,559.80K,-0.28%
"Jun 22, 2020",176.11,175.74,176.37,175.6,440.63K,0.24%
"Jun 19, 2020",175.68,175.61,175.79,175.3,383.64K,0.05%
"Jun 18, 2020",175.59,175.28,175.76,175.16,548.60K,0.11%
"Jun 17, 2020",175.4,175.34,175.63,174.8,596.32K,0.00%
"Jun 16, 2020",175.4,175.22,175.58,174.9,592.82K,-0.07%
"Jun 15, 2020",175.52,175.62,175.98,175.28,475.61K,-0.03%
"Jun 12, 2020",175.57,175.25,175.6,174.9,513.63K,0.19%
"Jun 11, 2020",175.24,174.28,175.34,174.12,598.11K,0.82%
"Jun 10, 2020",173.81,173.47,174.18,173.25,644.91K,0.20%
"Jun 09, 2020",173.46,173.61,174.02,173.3,646.57K,-0.03%
"Jun 08, 2020",173.51,173.08,173.69,172.79,532.55K,0.43%
"Jun 05, 2020",172.76,173.5,173.66,172.57,786.51K,1.30%
"Jun 04, 2020",170.54,171.04,171.34,170.37,1.11M,-0.25%
"Jun 03, 2020",170.97,171.66,171.87,170.86,1.45M,-0.52%
"Jun 02, 2020",171.86,171.92,172.15,171.67,1.11M,0.12%
"Jun 01, 2020",171.65,172.37,172.42,171.47,638.43K,-0.47%
"May 29, 2020",172.46,172.15,172.57,172,810.34K,0.24%
"May 28, 2020",172.05,171.82,172.32,171.68,637.25K,-0.01%
"May 27, 2020",172.07,172.28,172.53,171.5,841.05K,-0.05%
"May 26, 2020",172.16,173.11,173.16,172.01,705.34K,-0.52%
"May 25, 2020",173.06,173.05,173.28,172.98,136.20K,-0.03%
"May 22, 2020",173.12,173.11,173.52,172.93,460.08K,-0.02%
"May 21, 2020",173.15,172.89,173.27,172.66,432.62K,0.25%
"May 20, 2020",172.72,172.76,172.97,172.51,547.62K,0.01%
"May 19, 2020",172.7,172.82,173.11,172.26,685.90K,-0.27%
"May 18, 2020",173.16,173.75,174.09,172.61,678.10K,-0.33%
"May 15, 2020",173.74,173.62,174.23,173.59,471.06K,0.05%
"May 14, 2020",173.65,173.56,174.08,173.5,540.23K,0.01%
"May 13, 2020",173.63,173.55,173.92,173.41,550.62K,0.15%
"May 12, 2020",173.37,173.18,173.49,172.8,616.39K,-0.09%
"May 11, 2020",173.53,173.47,173.74,173.13,445.98K,-0.14%
"May 08, 2020",173.77,173.87,174.24,173.52,302.21K,-0.07%
"May 07, 2020",173.89,173.49,174.08,172.89,652.67K,0.34%
"May 06, 2020",173.3,174.15,174.23,173.19,599.62K,-0.64%
"May 05, 2020",174.41,174.13,174.55,173.42,642.96K,0.21%
"May 04, 2020",174.04,174.37,174.69,173.77,497.88K,-0.22%
"Apr 30, 2020",174.43,172.95,174.57,172.94,780.39K,0.79%
"Apr 29, 2020",173.06,172.75,173.28,172.58,531.31K,0.18%
"Apr 28, 2020",172.75,172.4,172.84,172.09,423.81K,0.17%
"Apr 27, 2020",172.45,172.68,172.91,172.23,392.52K,-0.18%
"Apr 24, 2020",172.76,172.38,172.87,172.27,417.98K,0.38%
"Apr 23, 2020",172.1,171.85,172.48,171.29,571.17K,0.06%
"Apr 22, 2020",172,172.71,172.95,171.67,517.77K,-0.53%
"Apr 21, 2020",172.91,172.54,173.26,172.45,528.25K,0.29%
"Apr 20, 2020",172.41,172.65,173.01,172.19,392.72K,-0.25%
"Apr 17, 2020",172.85,172.44,172.89,172.17,299.09K,0.10%
"Apr 16, 2020",172.67,172.43,172.9,172.04,459.93K,-0.01%
"Apr 15, 2020",172.68,171.42,172.78,171.36,532.34K,0.66%
"Apr 14, 2020",171.54,170.47,171.71,170.28,274.44K,0.37%
"Apr 09, 2020",170.9,170.12,171.09,170.01,455.32K,0.26%
"Apr 08, 2020",170.46,170.79,171.31,170,620.31K,-0.02%
"Apr 07, 2020",170.49,171.81,171.9,170.24,567.35K,-0.77%
"Apr 06, 2020",171.82,171.85,172.05,171.42,320.31K,-0.14%
"Apr 03, 2020",172.06,171.96,172.44,171.8,391.64K,0.08%
"Apr 02, 2020",171.92,172.56,172.6,171.6,540.02K,-0.38%
"Apr 01, 2020",172.57,172.7,173.48,172.23,483.25K,0.03%
"Mar 31, 2020",172.51,172.84,173.16,172.33,508.92K,-0.63%
"Mar 30, 2020",173.6,172.94,173.83,172.62,427.48K,0.60%
"Mar 27, 2020",172.56,170.95,173.07,170.9,560.94K,0.87%
"Mar 26, 2020",171.07,169.69,171.35,169.69,545.09K,0.85%
"Mar 25, 2020",169.62,170.5,170.78,169.34,464.92K,-0.38%
"Mar 24, 2020",170.27,171.13,171.38,170.19,454.21K,-0.50%
"Mar 23, 2020",171.12,170.69,171.54,170.22,496.86K,0.41%
"Mar 20, 2020",170.42,168.53,170.84,168.52,543.20K,1.48%
"Mar 19, 2020",167.94,170.01,171.18,167.52,813.15K,-0.50%
"Mar 18, 2020",168.79,171.39,171.39,168.24,879.20K,-1.83%
"Mar 17, 2020",171.93,172,172.47,170.9,773.97K,-0.14%
"Mar 16, 2020",172.17,174.6,175.25,171.97,623.39K,-1.15%
"Mar 13, 2020",174.17,176.32,176.57,173.12,1.01M,-1.32%
"Mar 12, 2020",176.5,176.81,177.64,175.9,1.01M,-0.15%
"Mar 11, 2020",176.77,177.07,177.91,176.55,1.01M,-0.46%
"Mar 10, 2020",177.59,177.55,177.91,175.41,1.28M,-0.36%
"Mar 09, 2020",178.23,177.21,179.31,177.05,994.79K,0.97%
"Mar 06, 2020",176.52,175.94,176.82,175.91,1.06M,0.44%
"Mar 05, 2020",175.75,174.81,176.08,174.65,1.02M,0.38%
"Mar 04, 2020",175.08,175.44,175.53,174.63,925.06K,0.09%
"Mar 03, 2020",174.92,174.58,175.42,174.02,1.08M,-0.06%
"Mar 02, 2020",175.03,175.09,175.59,174.23,1.12M,0.19%
"Feb 28, 2020",174.69,173.77,175.02,173.76,283.90K,0.50%
"Feb 27, 2020",173.82,173.2,174.12,173.16,186.95K,0.44%
"Feb 26, 2020",173.06,173.12,173.5,172.62,133.43K,-0.11%
"Feb 25, 2020",173.25,172.57,173.42,172.45,70.54K,0.25%
"Feb 24, 2020",172.82,172.6,173.08,172.45,141.50K,0.38%
"Feb 21, 2020",172.17,172.31,172.6,172.04,42.01K,-0.02%
"Feb 20, 2020",172.21,171.82,172.35,171.77,23.89K,0.17%
"Feb 19, 2020",171.91,171.65,171.97,171.54,1.48K,0.08%
"Feb 18, 2020",171.78,171.91,172.15,171.6,8.66K,0.05%
"Feb 17, 2020",171.7,171.92,171.92,171.4,0.81K,-0.02%
"Feb 14, 2020",171.73,171.48,171.79,171.48,4.06K,0.12%
"Feb 13, 2020",171.52,171.53,171.84,171.34,6.48K,0.15%
"Feb 12, 2020",171.27,171.28,171.44,170.99,20.67K,-0.14%
"Feb 11, 2020",171.51,171.6,171.62,171.42,14.15K,-0.19%
"Feb 10, 2020",171.83,171.49,171.93,171.35,0.20K,0.23%
"Feb 07, 2020",171.44,171.45,171.61,171.3,1.18K,0.21%
"Feb 06, 2020",171.08,171,171.12,170.81,3.49K,-0.06%
"Feb 05, 2020",171.18,171.82,171.82,170.96,1.57K,-0.36%
"Feb 04, 2020",171.79,172.12,172.13,171.59,3.75K,-0.20%
"Feb 03, 2020",172.13,172.36,172.36,171.92,1.06K,-0.09%
"Jan 31, 2020",172.29,171.53,172.45,171.53,1.51K,0.26%
"Jan 30, 2020",171.84,171.56,171.87,171.56,3.05K,0.30%
"Jan 29, 2020",171.33,170.97,171.51,170.97,1.33K,0.22%
"Jan 28, 2020",170.95,171.45,171.69,170.83,3.96K,-0.32%
"Jan 27, 2020",171.5,170.94,171.53,170.82,8.31K,0.55%
"Jan 24, 2020",170.56,170.09,170.72,169.9,1.50K,0.15%
"Jan 23, 2020",170.31,169.8,170.32,169.79,1.87K,0.41%
"Jan 22, 2020",169.61,169.39,169.78,169.39,3.75K,0.07%
"Jan 21, 2020",169.49,169.11,169.43,168.88,0.10K,0.31%
"Jan 20, 2020",168.96,169,169,169,0.00K,0.04%
"Jan 17, 2020",168.9,169.06,169.06,168.85,8.88K,-0.06%
"Jan 16, 2020",169,168.95,169.09,168.9,1.02K,0.15%
"Jan 15, 2020",168.74,168.65,169,168.65,0.03K,0.27%
"Jan 14, 2020",168.29,168.08,168.3,168.03,3.22K,0.15%
"Jan 13, 2020",168.04,168.6,168.6,168.12,0.17K,-0.35%
"Jan 10, 2020",168.63,168.27,168.28,168.27,1.67K,0.12%
"Jan 09, 2020",168.42,168.58,168.58,168.44,0.20K,-0.37%
"Jan 08, 2020",169.05,170.2,170.2,168.73,0.08K,-0.20%
"Jan 07, 2020",169.39,169.36,169.51,169.25,0.99K,-0.06%
"Jan 06, 2020",169.5,169.7,169.7,169.48,0.72K,0.07%
"Jan 03, 2020",169.38,169.36,169.57,169.27,1.05K,0.50%
"Jan 02, 2020",168.53,168.2,168.68,168.2,0.19K,0.46%
"Dec 30, 2019",167.75,167.98,167.98,167.82,0.01K,-2.27%
"Dec 27, 2019",171.64,171.67,171.79,171.43,168.14K,0.10%
"Dec 23, 2019",171.47,171.58,171.88,171.3,193.93K,1.58%
"Dec 20, 2019",168.81,168.38,168.4,168.35,0.00K,0.15%
"Dec 19, 2019",168.55,168.66,168.66,168.21,0.04K,-0.11%
"Dec 18, 2019",168.74,169.49,169.49,169.49,0.00K,-0.38%
"Dec 17, 2019",169.39,169.38,169.38,169.38,0.00K,0.12%
"Dec 16, 2019",169.18,169.37,169.37,169.26,0.12K,-0.11%
"Dec 13, 2019",169.36,169.3,169.3,169.3,0.00K,0.21%
"Dec 12, 2019",169.01,169.8,169.93,169.18,0.01K,-2.17%
"Dec 11, 2019",172.76,172.27,172.88,172.17,431.70K,1.93%
"Dec 10, 2019",169.49,169.66,169.66,169.66,0.50K,-0.09%
"Dec 09, 2019",169.65,169.69,169.69,169.69,0.00K,-1.42%
"Dec 06, 2019",172.1,172.18,172.44,171.86,566.31K,-0.06%
"Dec 05, 2019",172.2,172.63,172.74,171.91,719.29K,-0.23%
"Dec 04, 2019",172.59,173.04,173.3,172.44,849.41K,-0.27%
"Dec 03, 2019",173.06,171.96,173.09,171.61,1.11M,0.67%
"Dec 02, 2019",171.91,172.99,172.99,171.73,968.76K,-0.75%
"Nov 29, 2019",173.21,171.29,173.21,170.91,383.08K,1.14%
"Nov 28, 2019",171.26,171.42,171.59,171.16,486.68K,-0.02%
"Nov 27, 2019",171.29,171.3,171.52,171.15,639.29K,-0.03%
"Nov 26, 2019",171.34,171.01,171.49,170.88,497.72K,0.21%
"Nov 25, 2019",170.98,171.17,171.23,170.94,473.06K,-0.15%
"Nov 22, 2019",171.24,170.66,171.27,170.37,687.67K,0.32%
"Nov 21, 2019",170.69,171.23,171.35,170.56,686.08K,-0.29%
"Nov 20, 2019",171.18,170.99,171.56,170.95,703.99K,0.14%
"Nov 19, 2019",170.94,170.84,171,170.67,448.05K,0.06%
"Nov 18, 2019",170.84,170.89,171.06,170.55,481.34K,0.01%
"Nov 15, 2019",170.83,170.93,171.04,170.65,413.78K,-0.07%
"Nov 14, 2019",170.95,170.28,171.12,170.28,620.54K,0.36%
"Nov 13, 2019",170.33,169.74,170.45,169.7,703.02K,0.32%
"Nov 12, 2019",169.78,169.65,169.83,169.27,576.49K,0.14%
"Nov 11, 2019",169.55,169.64,169.99,169.46,350.12K,-0.02%
"Nov 08, 2019",169.58,169.4,169.88,169.14,693.21K,0.02%
"Nov 07, 2019",169.55,170.87,170.97,169.17,1.14M,-0.78%
"Nov 06, 2019",170.89,170.45,170.94,170.22,567.25K,0.69%
"Nov 05, 2019",169.72,169.72,169.72,169.72,0.00K,-0.77%
"Nov 04, 2019",171.03,171.45,171.47,170.91,449.13K,0.11%
"Nov 01, 2019",170.84,171.41,171.43,171.41,0.01K,-0.18%
"Oct 31, 2019",171.14,171.35,171.35,171.35,0.00K,-0.11%
"Oct 30, 2019",171.33,171.05,171.36,170.82,520.84K,0.17%
"Oct 29, 2019",171.04,170.68,171.12,170.6,507.31K,0.74%
"Oct 28, 2019",169.78,169.73,169.73,169.69,0.00K,-0.87%
"Oct 25, 2019",171.27,171.7,171.8,171.13,480.14K,-0.22%
"Oct 24, 2019",171.64,171.51,171.95,171.17,705.59K,0.10%
"Oct 23, 2019",171.47,171.69,171.93,171.44,490.85K,-0.09%
"Oct 22, 2019",171.62,170.89,171.72,170.77,533.81K,0.41%
"Oct 21, 2019",170.92,171.45,171.45,170.78,432.61K,-0.20%
"Oct 18, 2019",171.27,171.75,171.88,171.24,441.62K,-0.28%
"Oct 17, 2019",171.75,171.7,171.91,170.74,845.84K,0.10%
"Oct 16, 2019",171.58,171.72,172.28,171.41,884.39K,-0.05%
"Oct 15, 2019",171.67,172.51,172.78,171.63,742.15K,-0.51%
"Oct 14, 2019",172.55,172.38,172.92,172.32,405.05K,0.06%
"Oct 11, 2019",172.44,172.7,173.15,172.08,951.59K,-0.19%
"Oct 10, 2019",172.76,174.06,174.14,172.57,793.96K,-0.71%
"Oct 09, 2019",173.99,174.53,174.56,173.85,481.56K,-0.33%
"Oct 08, 2019",174.56,174.24,174.69,173.88,556.10K,0.16%
"Oct 07, 2019",174.28,174.54,174.72,174.17,337.41K,-0.13%
"Oct 04, 2019",174.5,174.56,174.74,174.34,429.51K,-0.01%
"Oct 03, 2019",174.51,173.91,174.76,173.9,618.53K,0.38%
"Oct 02, 2019",173.85,173.86,174.04,173.6,612.92K,-0.03%
"Oct 01, 2019",173.91,174.23,174.25,173.32,848.64K,-0.20%
"Sep 30, 2019",174.26,174.34,174.36,173.78,531.34K,-0.01%
"Sep 27, 2019",174.27,174.33,174.53,174.05,451.67K,0.56%
"Sep 26, 2019",173.3,173.8,173.8,173.8,0.00K,-0.02%
"Sep 25, 2019",173.34,173.8,173.8,173.8,0.00K,-0.86%
"Sep 24, 2019",174.84,174.2,174.88,174.04,576.51K,0.34%
